time,Data,airtime,coding_rate,data_rate,frequency,gateway,rssi,sensor,snr
2021-06-11 15:05:53.163948+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,1.2
2021-06-11 15:10:57.032426+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,6.5
2021-06-11 15:16:00.907184+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-108.0,mdot-six,5.5
2021-06-11 15:21:04.777168+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-100.0,mdot-six,5.5
2021-06-11 15:26:08.650748+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-103.0,mdot-six,4.0
2021-06-11 15:31:12.530751+00:00,0.36,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-111.0,mdot-six,1.2
2021-06-11 15:36:16.399599+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,4.8
2021-06-11 15:41:20.275938+00:00,0.36,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,5.8
2021-06-11 15:46:24.149296+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,6.5
2021-06-11 15:51:28.022756+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-103.0,mdot-six,5.8
2021-06-11 15:56:31.896330+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-107.0,mdot-six,4.2
2021-06-11 16:01:35.766670+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-101.0,mdot-six,5.0
2021-06-11 16:06:39.641920+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-105.0,mdot-six,4.2
2021-06-11 16:11:43.518942+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-100.0,mdot-six,5.5
2021-06-11 16:16:47.383857+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-102.0,mdot-six,5.8
2021-06-11 16:21:51.260485+00:00,0.36,1155072000,4/5,SF12BW125,868.3,eui-00800000a0002125,-103.0,mdot-six,5.2
2021-06-11 16:26:55.131930+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-112.0,mdot-six,1.0
2021-06-11 16:31:59.009249+00:00,0.37,1155072000,4/5,SF12BW125,868.5,eui-00800000a0002125,-99.0,mdot-six,5.2
2021-06-11 16:37:02.883169+00:00,0.37,1155072000,4/5,SF12BW125,868.1,eui-00800000a0002125,-102.0,mdot-six,5.2
